Volume,Text No.,Text Title,Match with T Text? (1=yes 0=no 2 = ref),Quote in LS,Ch. in T Text,Quote in T Text,P. No. in T Text,UID,Start Index T,End Index T,Start Index LS,End Index LS
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_tshon re sgo yi nyi shu cha:_dpangs ni mda' tsam bri bar bya:_zhes so:,,,,31650,0,0,116610,116696
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_maN+Dal yon dbul gsol ba gdab:_me tog gang la phog pa yi:_rigs sbyor rig pa'i dbang lnga bskur:_zhes pas:,,,,95875,0,0,125105,125226
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_sku gsung thugs dang yon tan dang :_phrin las dag gi dbang bskur bya:_zhes pas:,,,,96192,0,0,126339,126434
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_de ltar brda yis ngo sprad kyang :_logs na yod pa ma yin te:_rang gi lus sems 'di la tshang :_zhes pas:,,,,90061,0,0,136290,136409
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_dam tshig shin tu mang bshad kyang :_mdor bsdus sku gsung thugs nyid bsrung :_zhes pas:,,,,11956,0,0,138451,138554
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_dbang bskur thog ma tha ma ru:_dga' ston ma byas dngos grub med:_ces pa dang :,61,dbang bskur thog ma tha ma ru/_/dga' ston ma byas dngos grub med/,,28836,179871,179936,144472,144566
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_bla ma yi dam mkha' 'gro dang :_chos skyong rdo rje spun la sogs:_tshogs mchod yon gyis ma mnyes na: nad mang tshe thung bar chad 'byung :_thun mong dngos grub med pa dang :_mchog las ring du song ba dang :_tshe 'phos yi dwags skye ba brgyud:_ces so:,61,bla ma yi dam mkha' 'gro dang /_/chos skyong rdo rje'i spyan sogs la/_/tshogs mchod yon gyi ma mnyes na/_/nad mang tshe thung bar gcod 'byung /_/thun mong dngos grub med pa dang /_/mchog la ring du song ba la/_/tshe 'phos yi dwags skye bar 'gyur/_/,,87434,179938,180186,145198,145464
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_bla ma dang ni dbang chog gi: gsung dang gzhung las 'gal ba na:_na raka sdug bsngal myong bar 'gyur:_zhes so:,52,bla ma dang ni dbang mchog gis/_/gsung dang gzhung las 'gal ba na/_/na raka sdug bsngal myong bar 'gyur/_/,,64366,162784,162890,145651,145776
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_bka' dang ma 'gal yon tan ni:_chos sku kun tu bzang po 'grub:_'phrin las bzhi la thogs pa med:_ces so:,,,,87681,0,0,146070,146188
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_dper na zhing sa gshin po yod gyur kyang :_so nam rim par ma byas na:_'bras bu smin par mi 'gyur ltar:_sems la chos nyid gnas gyur kyang :_dbang gis smin par ma byas na:_rnal 'byor dngos grub ga la thob:_ces so:,11,mngon sum rang thog dbab cing bskur/_/zhing sa gshin po yod gyur kyang /_/so nam rim pa ma byas ltar/_/'bras bu smin bar mi 'gyur ltar/_/sems la chos nyid gnas gyur kyang /_/dbang gis smin par ma byas na/_/rnal 'byor dngos grub ga la thob/,,28466,35945,36184,146527,146754
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,2,mkha' 'gro snying thig gi phyi dbang slob bu thun mong du smin par byed pa don gsal sgron me zhes bya ba klong gsal nas btus pa rdzogs so:_sa ma ya:_rgya rgya rgya:,,,,76185,0,0,152414,152578
5,10,dbang khrid nor bu sgron gsal bzhugs pa lags so:,0,klong gsal nyi ma'i rgyud dag las:_skal ldan smin byed dbang bskur ba: spros bcas dang ni spros med dang :_shin tu yongs su spros med kyi:_skal ba ldan pa smin par bya:_zhes pas:,,,,53704,0,0,152946,153124
5,10,dbang khrid nor bu sgron gsal bzhugs pa lags so:,0,klong gsal nyi ma'i rgyud dag las:_yid sgrib dag dang nus ldan phyir: dkyil 'khor de yi nub phyogs su:_dus ni gung gi dus dag tu:_gsum pa'i phyag rgya mtshan ldan ma:_khrus byas rgyan gyis spras la bzhag:_ces pas:,,,,31439,0,0,157664,157877
5,10.1,tshig dbang rin po che bzhugs pa tre bzhugs pa lags so:,0,de yang klong gsal rgyud dag las:_lus ngag yid gsum 'dzin sgrib dag gsum pa'i nus pa tshad phyin phyir:_dkyil 'khor maN+Dal byang phyogs su:_tho rangs nyi ma rtse shar dus:_las dang ldan pa'i bu la bskur:_zhes pas:,,,,66951,0,0,161416,161630
5,10.2,gsang dbang lus dkyil ngo sprod bzhugs so:gsang dbang las:,1,klong gsal nyi ma'i rgyud las:_'byung ba'i dngas las grub pa yi:_lus 'di bde gshegs pho brang nyid:_rigs lnga yab yum lnga yi gnas:_phung khams skye mched lha yi sku:_zhes pas:,17,byung ba'i dngas ma las grub pas/_/lus 'di bder gshegs pho brang yin/_/rigs lnga yab yum lnga yin pas/_/phung khams skye mched lha'i sku/,,38727,58046,58183,168174,168350
5,10.2,gsang dbang lus dkyil ngo sprod bzhugs so:gsang dbang las:,1,de yang klong gsal las:_'byung bzhi'i dkyil 'khor sangs rgyas zhing :_'khor lo lnga ni rigs lnga'i gnas:_phung khams thams cad lha tshogs nyid:_sems ni ye shes chen po nyid:_ces so:,13,byung bzhi'i dkyil 'khor sangs rgyas zhing /_/'khor lo lnga po rigs lnga gnas/_/phung po khams ni lha tshogs nyid/_/sems ni ye shes chen po nyid/_/rig pa spros bral a la la//,,62189,45989,46163,169104,169285
5,10.3,shes rab yum gyi mkha' ngo sprod bzhugs so:,1,klong gsal le'u brgyad pa las:_dus gsum sangs rgyas thams cad kyang :_b+ha ga dbyings las rang byung ste:_chos rnams kun gyi 'byung gnas yin:_ces pa dang :,33,dus gsum sangs rgyas thams cad kyang /_/b+ha ga'i klong nas rang byung ste/_/chos rnams kun gyi 'byung gnas nyid/_/b+ha ga gsang sngags kun gyi gnas/_/bde chen ye shes 'byung ba nyid,,61994,115624,115806,169636,169791
5,10.3,shes rab yum gyi mkha' ngo sprod bzhugs so:,1,klong gsal las:_bud med brnyas shing mkha' la gshe:_bde dang bral na na raka spyod:_ces so:,11,bud med brnyas shing mkha' la gshe/_/bde dang bral na na raka spyod/,,73319,37239,37307,170432,170523
5,12,bde gshegs rigs lnga'i mchod 'bum bzhugs so:,1,klong gsal rgyud dag las:_sangs rgyas rigs lnga kun 'dus gtso:_rang rig bla ma kun tu bzang :_phyi nang gsang ba'i mchod 'bum ni:_de yi bsod nams brjod mi lang :_mchod 'bum 'di la spyi don bcu:,14,sangs rgyas rigs lnga kun 'dus gtso/_/rang rig bla ma kun bzang la/_/phyi nang gsang ba'i mchod 'bul na/_/de'i bsod nams brjod mi lang /_/de phyir mchod la ngo sprod long /_/,,26500,49578,49752,184952,185145
5,12.1,rigs lnga'i gtor ma'i lag len bzhugs so:,1,de yag klong gsal rgyud dag las: tshogs med gang yang 'grub mi 'gyur:_ces pas:,11,tshogs med yang dag 'grub mi 'gyur/,,82229,37344,37379,196170,196248
